artists,disc_number,duration_ms,explicit,href,id,is_local,name,preview_url,track_number,type,uri,external_urls.spotify,popularity,album_name
Caetano Veloso,1,189615,FALSE,https://api.spotify.com/v1/tracks/1Mqte6Op3X3yD7QTptpbBp,1Mqte6Op3X3yD7QTptpbBp,FALSE,Meu Coco,https://p.scdn.co/mp3-preview/3fe7cce823bbc7e05b573a1130b1516736ef9c6f?cid=bed096ba738b4beaa51cf1bf50ceed15,1,track,spotify:track:1Mqte6Op3X3yD7QTptpbBp,https://open.spotify.com/track/1Mqte6Op3X3yD7QTptpbBp,43,Meu Coco
Caetano Veloso,1,245599,FALSE,https://api.spotify.com/v1/tracks/06SQ9CQMU5rsRLLhd2JGhr,06SQ9CQMU5rsRLLhd2JGhr,FALSE,Ciclâmen do Líbano,https://p.scdn.co/mp3-preview/74929572f5bc91296290475e82c8a4edf7c05aae?cid=bed096ba738b4beaa51cf1bf50ceed15,2,track,spotify:track:06SQ9CQMU5rsRLLhd2JGhr,https://open.spotify.com/track/06SQ9CQMU5rsRLLhd2JGhr,39,Meu Coco
Caetano Veloso,1,232114,FALSE,https://api.spotify.com/v1/tracks/4EuI8U1vNiNKcsevSGHfMY,4EuI8U1vNiNKcsevSGHfMY,FALSE,Anjos Tronchos,https://p.scdn.co/mp3-preview/1b4795abc156abab15c809217edffb7f9cb93194?cid=bed096ba738b4beaa51cf1bf50ceed15,3,track,spotify:track:4EuI8U1vNiNKcsevSGHfMY,https://open.spotify.com/track/4EuI8U1vNiNKcsevSGHfMY,41,Meu Coco
Caetano Veloso,1,251738,FALSE,https://api.spotify.com/v1/tracks/1TVrt7EWaqTLOSi8ZT1TG8,1TVrt7EWaqTLOSi8ZT1TG8,FALSE,Não Vou Deixar,https://p.scdn.co/mp3-preview/853d3b3d45b0d53452af2033a443397e524943f9?cid=bed096ba738b4beaa51cf1bf50ceed15,4,track,spotify:track:1TVrt7EWaqTLOSi8ZT1TG8,https://open.spotify.com/track/1TVrt7EWaqTLOSi8ZT1TG8,46,Meu Coco
Caetano Veloso,1,138866,FALSE,https://api.spotify.com/v1/tracks/4IEhFYs3I0iwODuKIwNPuJ,4IEhFYs3I0iwODuKIwNPuJ,FALSE,Autoacalanto,https://p.scdn.co/mp3-preview/b7704bf29fe9f1301ddfc60e9f226ba76eda596c?cid=bed096ba738b4beaa51cf1bf50ceed15,5,track,spotify:track:4IEhFYs3I0iwODuKIwNPuJ,https://open.spotify.com/track/4IEhFYs3I0iwODuKIwNPuJ,40,Meu Coco
Caetano Veloso,1,289807,FALSE,https://api.spotify.com/v1/tracks/5NQ0Nl45i2kxdB3wP4A44p,5NQ0Nl45i2kxdB3wP4A44p,FALSE,Enzo Gabriel,https://p.scdn.co/mp3-preview/f60ff3bcc2169a99d297c5357e316f1ef7e90969?cid=bed096ba738b4beaa51cf1bf50ceed15,6,track,spotify:track:5NQ0Nl45i2kxdB3wP4A44p,https://open.spotify.com/track/5NQ0Nl45i2kxdB3wP4A44p,39,Meu Coco
Caetano Veloso,1,241723,FALSE,https://api.spotify.com/v1/tracks/7FDVRQuzthfjvtCtmeAsFi,7FDVRQuzthfjvtCtmeAsFi,FALSE,GilGal,https://p.scdn.co/mp3-preview/934fe8035e1cdb11972441a65cb9b678b6eeeb75?cid=bed096ba738b4beaa51cf1bf50ceed15,7,track,spotify:track:7FDVRQuzthfjvtCtmeAsFi,https://open.spotify.com/track/7FDVRQuzthfjvtCtmeAsFi,40,Meu Coco
Caetano Veloso,1,188721,FALSE,https://api.spotify.com/v1/tracks/4wchNT7SdCct9PZfPtqIQH,4wchNT7SdCct9PZfPtqIQH,FALSE,Cobre,https://p.scdn.co/mp3-preview/d31d1fabc46ead493c5b94dc4cbcb0b7e1c1880b?cid=bed096ba738b4beaa51cf1bf50ceed15,8,track,spotify:track:4wchNT7SdCct9PZfPtqIQH,https://open.spotify.com/track/4wchNT7SdCct9PZfPtqIQH,38,Meu Coco
Caetano Veloso,1,224534,FALSE,https://api.spotify.com/v1/tracks/0Y8zkKLXfOJXKx52snADKS,0Y8zkKLXfOJXKx52snADKS,FALSE,Pardo,https://p.scdn.co/mp3-preview/7345a9081be3d56de9fafb9775d044a3db18aa85?cid=bed096ba738b4beaa51cf1bf50ceed15,9,track,spotify:track:0Y8zkKLXfOJXKx52snADKS,https://open.spotify.com/track/0Y8zkKLXfOJXKx52snADKS,39,Meu Coco
Caetano Veloso e Carminho,1,240355,FALSE,https://api.spotify.com/v1/tracks/4v0dwfxRuwR1l13h4xWFQY,4v0dwfxRuwR1l13h4xWFQY,FALSE,Você-Você,https://p.scdn.co/mp3-preview/7c60d9113b8873c3a87672ee655ccfef911edaca?cid=bed096ba738b4beaa51cf1bf50ceed15,10,track,spotify:track:4v0dwfxRuwR1l13h4xWFQY,https://open.spotify.com/track/4v0dwfxRuwR1l13h4xWFQY,42,Meu Coco
